NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
0,Circlet,HP_p,0,33,23,0,0,18,0,42,0,0,Circlet,HP_p,0,54,0,0,14,0,0,16,0,7
5,Circlet,AK_p,538,0,0,16,0,13,0,0,0,6,Circlet,CD_p,448,53,16,0,10,0,0,0,0,0
63,Circlet,CR_p,687,16,42,0,0,0,0,40,0,0,Circlet,CD_p,0,47,0,10,0,0,0,21,6,0
5,Circlet,DF_p,0,33,0,9,11,0,0,0,0,14,Circlet,AK_p,0,0,79,0,0,0,12,19,0,5
1,Circlet,DF_p,0,0,0,5,5,0,19,0,7,0,Circlet,AK_p,0,0,0,0,0,12,10,68,3,0
5,Circlet,HP_p,508,0,23,0,0,0,0,0,10,14,Circlet,AK_p,0,0,0,0,0,17,5,0,7,15
7,Circlet,DF_p,538,51,42,0,0,0,0,0,3,0,Circlet,CR_p,239,0,0,11,0,26,0,21,0,0
12,Circlet,HP_p,0,58,0,0,6,0,0,0,3,15,Circlet,CR_p,269,0,0,14,0,0,12,0,0,14
33,Circlet,CR_p,0,0,37,0,0,0,6,37,0,19,Circlet,CR_p,269,29,0,0,16,0,0,0,0,12
1,Circlet,AK_p,538,19,35,0,0,19,0,0,0,0,Circlet,CR_p,239,35,0,0,0,12,16,0,0,0
1,Circlet,HP_p,209,54,0,0,0,6,0,0,14,0,Circlet,CR_p,508,29,0,0,11,0,0,0,0,13
12,Circlet,DF_p,299,51,16,0,0,0,0,56,0,0,Circlet,DF_p,0,0,65,11,0,0,0,40,4,0
17,Circlet,AK_p,0,31,74,11,0,7,0,0,0,0,Circlet,CD_p,0,0,0,10,10,0,12,0,7,0
35,Circlet,CR_p,508,0,0,4,0,17,13,0,0,0,Circlet,CR_p,0,14,0,0,9,6,0,77,0,0
13,Circlet,HP_p,777,33,19,0,10,0,0,0,0,0,Circlet,DF_p,0,19,21,0,9,0,0,0,14,0
4,Circlet,DF_p,1076,0,0,9,0,0,0,23,3,0,Circlet,CR_p,0,0,0,0,10,12,0,82,0,6
0,Circlet,HP_p,0,33,0,0,0,14,5,58,0,0,Circlet,CR_p,299,16,0,17,0,0,10,0,0,0
5,Circlet,DF_p,0,16,74,10,0,0,0,0,4,0,Circlet,HP_p,299,29,0,0,0,20,0,0,6,0
12,Circlet,HB_p,209,49,0,5,0,16,0,0,0,0,Circlet,AK_p,508,27,39,16,0,0,0,0,0,0
0,Circlet,AK_p,269,49,46,8,0,0,0,0,0,0,Circlet,CR_p,0,19,0,21,0,5,12,0,0,0
1,Circlet,HB_p,0,35,0,17,0,0,0,0,7,11,Circlet,AK_p,448,0,37,17,0,0,0,0,0,6
10,Circlet,AK_p,0,35,16,0,0,0,10,65,0,0,Circlet,CR_p,0,0,37,0,0,0,12,35,0,14
6,Circlet,DF_p,269,51,0,14,0,0,0,0,0,8,Circlet,DF_p,687,0,19,11,0,0,0,0,7,0
2,Circlet,HP_p,538,14,62,0,0,11,0,0,0,0,Circlet,DF_p,777,0,0,9,0,0,17,0,4,0
6,Circlet,DF_p,0,0,56,0,12,0,0,21,6,0,Circlet,CD_p,1314,14,21,0,5,0,0,0,0,0
0,Circlet,DF_p,0,16,46,0,11,0,0,56,0,0,Circlet,CD_p,1165,0,19,6,0,0,12,0,0,0
15,Circlet,AK_p,299,49,0,0,0,19,6,0,0,0,Circlet,CD_p,0,51,39,9,0,0,0,0,3,0
0,Circlet,AK_p,0,66,44,0,0,0,0,16,0,7,Circlet,CR_p,0,0,16,16,0,15,0,0,0,12
1,Circlet,HB_p,0,0,44,0,0,0,16,37,0,6,Circlet,HB_p,239,0,0,14,0,14,0,0,10,0
10,Circlet,DF_p,0,0,19,0,0,0,6,0,12,13,Circlet,CR_p,209,54,42,0,0,0,0,65,0,0
17,Circlet,DF_p,866,33,0,5,0,0,0,0,5,0,Circlet,CD_p,209,0,60,0,5,0,0,63,0,0
8,Circlet,AK_p,448,31,65,0,0,0,0,19,0,0,Circlet,HB_p,269,29,0,0,10,0,0,0,0,20
15,Circlet,EM_f,568,0,67,0,0,11,0,0,3,0,Circlet,CD_p,807,0,65,0,0,7,0,0,3,0
2,Circlet,DF_p,717,14,23,0,0,0,0,0,0,20,Circlet,AK_p,508,31,56,0,0,0,0,0,3,0
5,Circlet,HP_p,0,0,42,0,0,14,0,40,6,0,Circlet,AK_p,956,0,16,16,0,0,0,19,0,0
8,Circlet,HB_p,0,0,21,15,13,0,0,0,0,13,Circlet,AK_p,209,0,97,0,0,0,6,35,0,0
9,Circlet,DF_p,0,0,42,13,0,0,12,21,0,0,Circlet,AK_p,239,0,39,0,0,0,11,0,0,19
26,Circlet,AK_p,1076,19,19,14,0,0,0,0,0,0,Circlet,CD_p,508,51,0,4,9,0,0,0,0,0
2,Circlet,HP_p,0,0,76,0,4,7,0,37,0,0,Circlet,EM_f,508,19,0,0,11,0,20,0,0,0
81,Circlet,CD_p,0,0,44,20,9,0,6,0,0,0,Circlet,CD_p,538,0,0,0,0,0,11,61,3,0
41,Circlet,CD_p,239,35,35,0,0,19,0,0,0,0,Circlet,CR_p,508,33,0,0,5,27,0,0,0,0
48,Circlet,CR_p,448,68,0,0,6,12,0,0,0,0,Circlet,CR_p,478,53,0,0,9,5,0,0,0,0
0,Circlet,HP_p,0,54,16,0,0,0,10,40,0,0,Circlet,HB_p,0,31,0,0,0,18,5,0,10,0
64,Circlet,CR_p,0,0,58,0,0,13,14,0,0,6,Circlet,CD_p,0,0,0,0,4,7,17,0,9,0
13,Circlet,CD_p,0,35,65,4,9,0,0,0,0,0,Circlet,CR_p,478,29,0,14,10,0,0,0,0,0
0,Circlet,AK_p,0,31,0,10,0,11,0,0,0,12,Circlet,CD_p,598,47,39,0,0,0,0,19,0,0
5,Circlet,HP_p,0,0,39,0,5,27,0,16,0,0,Circlet,AK_p,0,16,0,0,0,5,0,42,0,27
7,Circlet,DF_p,0,0,35,15,11,0,0,0,0,8,Circlet,HP_p,0,0,35,0,0,0,12,0,5,12
0,Circlet,DF_p,0,51,0,0,6,0,5,56,0,0,Circlet,DF_p,0,31,42,0,9,0,0,44,0,0
4,Circlet,HP_p,0,0,0,0,0,26,11,19,0,5,Circlet,CD_p,0,19,0,4,0,0,18,61,0,0
0,Circlet,DF_p,0,19,0,0,0,0,0,56,10,14,Circlet,CD_p,926,18,0,0,4,14,0,0,0,0
3,Circlet,AK_p,299,49,0,0,0,20,0,35,0,0,Circlet,CD_p,0,37,0,0,0,12,16,47,0,0
9,Circlet,HP_p,508,0,23,0,10,17,0,0,0,0,Circlet,CR_p,0,0,19,0,11,0,17,0,0,15
19,Circlet,HP_p,0,18,42,0,21,5,0,0,0,0,Circlet,AK_p,0,31,0,10,0,17,0,23,0,0
122,Circlet,CD_p,687,31,0,0,0,7,0,0,8,0,Circlet,CD_p,239,14,60,0,0,0,0,0,10,0
18,Circlet,CD_p,777,0,21,0,0,5,15,0,0,0,Circlet,CD_p,269,56,60,0,5,0,0,0,0,0
39,Circlet,CD_p,508,0,21,12,0,0,16,0,0,0,Circlet,CR_p,418,0,0,0,0,7,0,61,0,15
8,Circlet,HP_p,0,31,37,0,9,22,0,0,0,0,Circlet,HP_p,209,0,0,0,6,25,0,0,7,0
4,Circlet,DF_p,0,39,37,19,0,0,0,19,0,0,Circlet,HB_p,299,43,62,0,0,0,0,0,0,13
3,Circlet,DF_p,209,29,0,15,0,0,0,42,0,0,Circlet,CD_p,538,16,0,0,9,0,0,0,10,0
10,Circlet,AK_p,0,0,46,0,0,6,5,79,0,0,Circlet,CD_p,687,29,39,0,0,0,6,0,0,0
1,Circlet,DF_p,418,0,0,0,10,0,17,0,6,0,Circlet,CD_p,717,0,21,0,5,0,0,56,0,0
218,Circlet,CR_p,239,51,0,0,0,24,6,0,0,0,Circlet,CR_p,1076,14,0,0,0,0,10,0,0,14
10,Circlet,HP_p,0,37,56,0,4,11,0,0,0,0,Circlet,HB_p,0,53,0,0,10,10,6,0,0,0
16,Circlet,AK_p,508,0,16,0,0,0,0,40,10,0,Circlet,AK_p,0,16,44,0,0,0,13,0,12,0
174,Circlet,CR_p,239,33,37,0,23,0,0,0,0,0,Circlet,CR_p,747,0,39,0,0,0,0,19,0,17
5,Circlet,HP_p,0,37,42,0,0,0,0,0,10,6,Circlet,AK_p,209,0,0,15,0,0,0,44,7,0
142,Circlet,CR_p,0,0,42,0,0,10,12,0,0,12,Circlet,CD_p,269,51,0,9,0,0,0,0,7,0
12,Circlet,CD_p,478,53,0,15,0,0,0,23,0,0,Circlet,CD_p,269,19,0,0,20,12,0,0,0,0
581,Circlet,CR_p,777,39,19,0,0,0,0,0,0,18,Circlet,CD_p,657,16,0,0,11,0,0,0,7,0
76,Circlet,CD_p,777,29,23,0,8,0,0,0,0,0,Circlet,CD_p,239,60,0,0,0,0,0,21,7,0
9,Circlet,HP_p,0,19,0,0,8,0,12,0,0,20,Circlet,AK_p,777,14,0,0,0,0,12,0,0,15
0,Circlet,AK_p,657,0,0,0,0,7,17,47,0,0,Circlet,AK_p,0,14,90,9,0,0,0,0,0,6
5,Circlet,EM_f,508,0,58,0,0,7,0,0,7,0,Circlet,AK_p,508,47,21,0,0,0,12,0,0,0
12,Circlet,AK_p,598,0,0,0,0,14,11,0,11,0,Circlet,CR_p,0,0,37,0,0,0,9,47,0,12
1,Circlet,CR_p,0,14,67,0,0,12,0,0,0,21,Circlet,CR_p,538,14,0,0,0,0,6,0,0,27
1,Circlet,DF_p,777,35,0,11,9,0,0,0,0,0,Circlet,HP_p,0,0,0,0,0,12,5,0,5,20
15,Circlet,DF_p,239,0,39,0,0,0,0,21,14,0,Circlet,CD_p,0,0,23,15,9,10,0,0,0,0
2,Circlet,EM_f,269,0,0,0,0,11,9,0,0,19,Circlet,CD_p,0,35,0,6,0,0,12,56,0,0
1,Circlet,DF_p,0,0,58,6,0,0,16,0,3,0,Circlet,AK_p,239,0,62,5,0,0,0,0,9,0
16,Circlet,HP_p,239,33,86,0,0,0,5,0,0,0,Circlet,AK_p,538,0,60,0,0,7,0,0,6,0
0,Circlet,HP_p,239,66,44,0,0,0,6,0,0,0,Circlet,HB_p,0,0,51,0,12,5,0,0,6,0
6,Circlet,DF_p,209,19,0,0,0,0,0,84,0,20,Circlet,HP_p,209,0,0,0,16,0,10,0,0,14
22,Circlet,AK_p,777,0,19,15,0,0,0,0,6,0,Circlet,CD_p,836,49,0,0,12,0,5,0,0,0
9,Circlet,HP_p,777,33,23,0,0,0,16,0,0,0,Circlet,CR_p,209,16,0,0,0,0,0,93,0,8
45,Circlet,CR_p,0,66,0,0,10,5,0,0,0,7,Circlet,CD_p,0,0,21,0,14,17,0,0,3,0
0,Circlet,DF_p,508,0,21,4,0,0,0,0,18,0,Circlet,CD_p,717,29,0,0,11,0,0,21,0,0
1,Circlet,HB_p,478,14,0,15,10,0,0,0,0,0,Circlet,DF_p,299,0,0,9,15,0,0,37,0,0
22,Circlet,AK_p,0,31,0,0,0,19,0,42,0,8,Circlet,AK_p,0,29,86,0,0,0,0,0,3,14
1,Circlet,AK_p,747,0,16,10,0,0,0,0,0,21,Circlet,CR_p,0,0,35,0,0,17,6,0,0,19
3,Circlet,HP_p,299,72,0,0,0,11,0,42,0,0,Circlet,HB_p,1344,0,19,0,5,7,0,0,0,0
34,Circlet,CR_p,0,14,0,10,11,18,0,0,0,0,Circlet,CR_p,0,0,37,0,14,7,0,42,0,0
13,Circlet,CR_p,0,53,19,0,0,5,0,63,0,0,Circlet,CD_p,0,14,79,0,5,20,0,0,0,0
2,Circlet,DF_p,807,0,0,5,15,0,0,0,4,0,Circlet,CR_p,538,45,0,0,9,0,0,0,0,15
5,Circlet,AK_p,0,19,39,0,0,14,19,0,0,0,Circlet,HP_p,0,29,0,0,9,0,0,0,7,15
34,Circlet,AK_p,448,33,60,0,0,0,0,0,0,8,Circlet,CD_p,0,64,44,0,0,0,10,23,0,0
86,Circlet,CR_p,777,0,0,4,5,21,0,0,0,0,Circlet,CR_p,538,0,0,0,10,16,0,40,0,0
3,Circlet,HP_p,0,14,0,0,0,0,18,61,0,6,Circlet,DF_p,836,18,16,0,15,0,0,0,0,0
0,Circlet,HP_p,687,0,16,0,12,0,10,0,0,0,Circlet,DF_p,717,0,0,0,5,0,19,0,0,12
0,Circlet,CD_p,1076,14,0,0,0,7,11,0,0,0,Circlet,CD_p,0,0,21,13,5,0,17,0,0,0
4,Circlet,HP_p,0,29,37,0,0,0,13,0,0,12,Circlet,AK_p,269,16,0,0,0,25,0,33,0,0
