NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
34,Circlet,AK_p,478,27,0,11,0,0,0,40,0,0,Circlet,EM_f,269,0,58,0,0,12,10,0,0,0
4,Circlet,AK_p,0,27,0,20,0,0,6,37,0,0,Circlet,EM_f,777,0,0,5,0,0,12,0,10,0
14,Circlet,HP_p,0,33,0,0,10,0,17,0,4,0,Circlet,HB_p,0,0,44,0,10,0,16,16,0,0
1,Circlet,DF_p,0,16,60,12,0,0,0,0,6,0,Circlet,DF_p,0,19,32,0,15,0,0,40,0,0
6,Circlet,HB_p,717,18,0,0,12,0,0,33,0,0,Circlet,EM_f,0,0,62,11,0,6,0,0,8,0
4,Circlet,DF_p,209,18,0,0,20,0,0,63,0,0,Circlet,HP_p,0,0,0,0,13,7,0,77,0,5
8,Circlet,AK_p,0,0,42,9,0,0,10,0,0,21,Circlet,CD_p,0,0,0,0,10,5,0,58,7,0
4,Circlet,HB_p,538,33,65,6,0,0,0,0,0,0,Circlet,DF_p,0,0,65,5,0,0,6,58,0,0
3,Circlet,AK_p,538,35,62,0,0,0,0,0,0,11,Circlet,EM_f,239,19,0,14,0,20,0,0,0,0
6,Circlet,CD_p,508,0,0,0,10,13,10,0,0,0,Circlet,CD_p,239,0,0,14,0,5,0,63,0,0
10,Circlet,CR_p,478,56,32,0,5,0,0,0,0,0,Circlet,AK_p,0,0,58,5,0,15,0,61,0,0
31,Circlet,HB_p,508,18,0,0,0,16,11,0,0,0,Circlet,DF_p,239,0,0,0,12,0,20,0,0,7
5,Circlet,DF_p,508,33,0,10,9,0,0,0,0,0,Circlet,HB_p,0,29,0,0,0,12,0,23,0,18
0,Circlet,AK_p,239,51,0,10,0,15,0,0,0,0,Circlet,DF_p,0,16,46,0,10,0,0,56,0,0
23,Circlet,HB_p,209,33,0,20,6,0,0,0,0,0,Circlet,CR_p,478,37,0,0,4,0,0,61,0,0
9,Circlet,HP_p,0,0,19,0,0,0,5,0,16,13,Circlet,CR_p,209,0,0,20,0,13,6,0,0,0
40,Circlet,DF_p,0,0,39,0,11,0,0,51,0,8,Circlet,HP_p,538,35,39,0,0,0,0,61,0,0
31,Circlet,AK_p,717,49,0,0,0,0,0,23,0,12,Circlet,EM_f,598,0,0,4,9,0,0,0,9,0
18,Circlet,AK_p,0,29,35,0,0,14,0,0,7,0,Circlet,AK_p,0,0,39,5,0,0,11,61,0,0
1,Circlet,DF_p,299,0,0,9,0,0,17,0,0,20,Circlet,AK_p,0,0,0,6,0,17,0,61,0,6
1,Circlet,HP_p,209,35,44,0,0,0,0,0,0,19,Circlet,DF_p,0,16,0,8,0,0,23,23,0,0
2,Circlet,CR_p,807,37,0,0,10,0,10,0,0,0,Circlet,AK_p,239,64,0,10,0,0,0,40,0,0
115,Circlet,EM_f,0,27,62,0,0,0,10,0,6,0,Circlet,EM_f,866,0,32,0,0,0,12,0,0,7
33,Circlet,CR_p,0,0,42,0,0,6,10,56,0,0,Circlet,AK_p,0,0,0,9,0,5,10,77,0,0
4,Circlet,AK_p,508,14,39,15,0,0,0,0,0,0,Circlet,HP_p,0,16,0,0,0,20,17,0,4,0
12,Circlet,HP_p,836,14,42,0,10,0,0,0,0,0,Circlet,CD_p,418,84,19,0,0,0,6,0,0,0
2,Circlet,AK_p,508,29,0,13,0,0,0,0,0,8,Circlet,HP_p,538,0,0,0,4,0,23,44,0,0
31,Circlet,DF_p,478,18,0,0,0,0,11,0,0,19,Circlet,CR_p,508,0,58,10,0,0,0,19,0,0
3,Circlet,AK_p,448,0,0,0,0,0,0,21,6,22,Circlet,EM_f,0,33,42,0,0,0,5,0,0,18
20,Circlet,HB_p,508,0,23,15,0,0,0,0,0,14,Circlet,DF_p,209,0,0,0,0,0,12,44,0,20
2,Circlet,AK_p,986,0,23,0,0,12,6,0,0,0,Circlet,DF_p,269,31,65,0,0,0,14,0,0,0
14,Circlet,AK_p,448,54,0,0,0,7,10,0,0,0,Circlet,DF_p,0,0,0,10,6,0,0,16,0,26
3,Circlet,AK_p,269,35,44,15,0,0,0,0,0,0,Circlet,AK_p,478,29,0,9,0,0,0,40,0,0
8,Circlet,CD_p,269,0,0,0,9,0,17,44,0,0,Circlet,EM_f,0,49,0,0,0,0,11,0,4,12
1000,Circlet,EM_f,0,0,19,11,0,0,17,0,0,12
12,Circlet,AK_p,568,0,0,8,0,20,0,0,0,14,Circlet,CD_p,0,33,60,4,0,0,11,0,0,0
4,Circlet,AK_p,538,53,35,0,0,0,0,40,0,0,Circlet,CD_p,0,18,23,0,0,0,0,58,10,0
