NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
2,Feather,AK_f,687,0,46,0,0,12,0,0,3,0,Feather,AK_f,209,0,0,9,16,0,0,42,0,0
0,Feather,AK_f,538,0,62,0,10,0,0,0,3,0,Feather,AK_f,0,0,0,4,5,0,0,93,0,17
3,Feather,AK_f,478,0,0,0,0,7,16,0,7,0,Feather,AK_f,0,0,42,0,0,0,0,33,7,15
4,Feather,AK_f,448,0,56,5,12,0,0,0,0,0,Feather,AK_f,0,0,0,15,0,0,6,63,6,0
4,Feather,AK_f,0,0,21,0,9,0,11,63,0,0,Feather,AK_f,448,0,0,0,16,0,11,19,0,0
326,Feather,AK_f,0,0,0,10,10,0,0,0,6,13,Feather,AK_f,0,0,0,6,0,0,0,21,13,18
75,Feather,AK_f,0,0,0,11,9,6,0,0,0,20,Feather,AK_f,299,0,0,10,0,0,11,0,13,0
18,Feather,AK_f,0,0,42,0,15,0,0,33,4,0,Feather,AK_f,0,0,46,0,5,0,5,0,0,26
6,Feather,AK_f,747,0,39,0,0,0,11,0,0,14,Feather,AK_f,0,0,39,0,4,0,0,56,7,0
71,Feather,AK_f,0,0,58,0,4,0,6,0,0,23,Feather,AK_f,0,0,16,0,10,0,0,0,7,20
0,Feather,AK_f,0,0,44,0,5,17,11,0,0,0,Feather,AK_f,0,0,67,4,0,7,0,0,10,0
3,Feather,AK_f,1046,0,0,0,0,0,0,47,3,7,Feather,AK_f,239,0,42,0,0,0,0,0,7,20
2,Feather,AK_f,239,0,0,19,0,15,0,0,0,7,Feather,AK_f,807,0,0,5,0,0,0,65,0,12
4,Feather,AK_f,807,0,0,4,0,0,0,0,8,12,Feather,AK_f,269,0,0,0,0,0,10,0,11,12
11,Feather,AK_f,0,0,62,0,0,6,19,0,0,12,Feather,AK_f,299,0,0,0,0,14,0,35,9,0
36,Feather,AK_f,0,0,0,0,0,13,0,19,3,27,Feather,AK_f,0,0,0,0,10,7,0,0,9,14
7,Feather,AK_f,0,0,56,0,4,15,10,0,0,0,Feather,AK_f,807,0,21,15,11,0,0,0,0,0
9,Feather,AK_f,478,0,42,0,0,0,15,0,4,0,Feather,AK_f,508,0,0,0,16,0,0,40,6,0
7,Feather,AK_f,239,0,0,15,0,12,0,0,0,14,Feather,AK_f,0,0,56,0,13,7,0,0,0,8
6,Feather,AK_f,777,0,32,0,0,0,11,0,0,8,Feather,AK_f,0,0,0,10,25,6,0,21,0,0
3,Feather,AK_f,209,0,35,0,11,0,0,70,0,0,Feather,AK_f,0,0,39,0,14,0,11,35,0,0
1,Feather,AK_f,717,0,44,0,0,15,10,0,0,0,Feather,AK_f,0,0,60,0,5,0,9,47,0,0
3,Feather,AK_f,717,0,37,0,0,0,0,23,5,0,Feather,AK_f,0,0,0,4,0,20,0,37,0,20
7,Feather,AK_f,0,0,39,6,17,0,0,0,0,7,Feather,AK_f,508,0,0,0,9,0,12,0,7,0
6,Feather,AK_f,0,0,37,11,0,0,5,56,0,0,Feather,AK_f,0,0,51,6,0,0,11,0,0,13
1,Feather,AK_f,568,0,23,15,0,12,0,0,0,0,Feather,AK_f,687,0,37,0,11,0,0,21,0,0
17,Feather,AK_f,0,0,0,19,0,0,11,0,3,12,Feather,AK_f,747,0,0,0,0,5,6,0,0,20
12,Feather,AK_f,0,0,0,0,0,0,12,56,3,15,Feather,AK_f,508,0,39,0,0,0,0,0,13,8
5,Feather,AK_f,0,0,51,4,0,0,12,40,0,0,Feather,AK_f,837,0,16,0,5,0,0,0,9,0
10,Feather,AK_f,986,0,0,10,10,0,0,0,0,5,Feather,AK_f,538,0,19,0,0,0,0,58,8,0
2,Feather,AK_f,568,0,32,0,0,6,19,0,0,0,Feather,AK_f,538,0,0,0,19,5,0,0,7,0
