NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
10,Feather,AK_f,0,0,0,0,12,0,16,19,6,0,Feather,AK_f,0,0,44,0,0,12,0,37,6,0
2,Feather,AK_f,0,0,37,0,10,0,0,0,6,13,Feather,AK_f,0,0,0,10,10,0,6,54,0,0
25,Feather,AK_f,0,0,62,0,0,0,11,0,6,7,Feather,AK_f,0,0,16,0,0,12,16,0,0,13
12,Feather,AK_f,209,0,0,0,12,7,0,0,13,0,Feather,AK_f,209,0,0,0,11,0,21,0,0,6
31,Feather,AK_f,0,0,42,0,0,7,0,47,10,0,Feather,AK_f,717,0,32,0,0,0,0,61,4,0
18,Feather,AK_f,0,0,62,0,9,0,0,0,3,13,Feather,AK_f,0,0,16,5,15,0,0,58,0,0
24,Feather,AK_f,598,0,0,0,20,12,0,21,0,0,Feather,AK_f,0,0,44,0,0,0,9,79,0,6
42,Feather,AK_f,0,0,37,16,0,7,0,37,0,0,Feather,AK_f,209,0,65,0,0,0,6,56,0,0
4,Feather,AK_f,0,0,0,5,15,10,0,0,7,0,Feather,AK_f,0,0,46,0,4,0,12,0,10,0
19,Feather,AK_f,956,0,0,0,10,0,10,0,3,0,Feather,AK_f,0,0,39,0,16,6,11,0,0,0
1,Feather,AK_f,299,0,56,0,15,0,0,0,0,5,Feather,AK_f,418,0,21,16,0,0,0,58,0,0
11,Feather,AK_f,777,0,0,0,8,0,0,37,3,0,Feather,AK_f,209,0,0,0,10,0,0,65,0,14
2,Feather,AK_f,568,0,16,15,0,21,0,0,0,0,Feather,AK_f,239,0,58,0,0,12,11,0,0,0
4,Feather,AK_f,0,0,56,10,5,0,0,40,0,0,Feather,AK_f,478,0,0,0,0,0,6,61,0,19
144,Feather,AK_f,478,0,0,0,0,12,0,77,3,0,Feather,AK_f,209,0,0,0,10,14,0,82,0,0
2,Feather,AK_f,926,0,0,0,6,0,0,0,6,6,Feather,AK_f,807,0,0,0,9,0,17,0,4,0
11,Feather,AK_f,807,0,0,10,0,7,0,0,0,12,Feather,AK_f,0,0,21,16,0,0,17,19,0,0
38,Feather,AK_f,0,0,0,0,12,11,10,40,0,0,Feather,AK_f,777,0,0,0,0,0,5,56,0,14
1,Feather,AK_f,0,0,0,0,0,7,20,0,8,12,Feather,AK_f,0,0,56,0,0,5,0,42,7,0
4,Feather,AK_f,807,0,19,0,15,0,0,16,0,0,Feather,AK_f,0,0,16,15,0,0,0,37,7,0
6,Feather,AK_f,777,0,53,0,0,0,11,0,3,0,Feather,AK_f,269,0,16,0,0,20,0,68,0,0
3,Feather,AK_f,717,0,0,10,0,6,11,0,0,0,Feather,AK_f,1016,0,23,0,9,0,0,19,0,0
2,Feather,AK_f,0,0,23,15,16,12,0,0,0,0,Feather,AK_f,418,0,0,10,0,0,10,40,0,0
740,Feather,AK_f,448,0,0,10,0,0,5,70,0,0,Feather,AK_f,568,0,0,0,0,5,6,70,0,0
42,Feather,AK_f,0,0,42,0,0,12,0,54,7,0,Feather,AK_f,508,0,0,0,0,21,5,56,0,0
4,Feather,AK_f,0,0,0,4,0,29,0,19,7,0,Feather,AK_f,0,0,21,6,20,0,0,37,0,0
2,Feather,AK_f,0,0,65,0,0,7,0,42,5,0,Feather,AK_f,777,0,0,5,0,0,0,51,0,5
10,Feather,AK_f,538,0,0,5,0,7,23,0,0,0,Feather,AK_f,0,0,42,0,0,0,12,23,0,17
13,Feather,AK_f,209,0,0,16,15,7,0,0,0,0,Feather,AK_f,0,0,0,6,0,0,0,35,4,29
19,Feather,AK_f,209,0,0,15,18,0,6,0,0,0,Feather,AK_f,478,0,0,0,0,0,10,0,13,8
6,Feather,AK_f,209,0,74,9,0,0,6,0,0,0,Feather,AK_f,299,0,37,16,0,0,10,0,0,0
27,Feather,AK_f,538,0,23,0,0,0,16,42,0,0,Feather,AK_f,747,0,16,0,0,0,6,58,0,0
7,Feather,AK_f,0,0,37,10,0,10,0,40,0,0,Feather,AK_f,0,0,19,0,19,0,6,42,0,0
0,Feather,AK_f,478,0,0,0,0,18,6,0,0,12,Feather,AK_f,0,0,35,17,0,7,11,0,0,0
0,Feather,AK_f,299,0,0,0,11,11,0,0,9,0,Feather,AK_f,1135,0,0,6,9,0,5,0,0,0
5,Feather,AK_f,0,0,0,0,12,0,0,37,7,12,Feather,AK_f,0,0,0,16,0,11,6,47,0,0
44,Feather,AK_f,299,0,0,0,15,12,0,35,0,0,Feather,AK_f,0,0,23,0,0,5,12,84,0,0
3,Feather,AK_f,0,0,0,0,0,5,0,61,7,15,Feather,AK_f,269,0,0,9,0,0,12,63,0,0
6,Feather,AK_f,1046,0,35,0,0,7,0,19,0,0,Feather,AK_f,508,0,0,16,0,0,0,37,0,12
2,Feather,AK_f,568,0,0,5,0,17,0,0,7,0,Feather,AK_f,0,0,86,0,0,0,0,44,3,14
10,Feather,AK_f,0,0,19,20,10,0,10,0,0,0,Feather,AK_f,0,0,35,0,19,5,11,0,0,0
11,Feather,AK_f,0,0,35,0,0,0,5,65,7,0,Feather,AK_f,269,0,0,10,0,0,0,84,7,0
6,Feather,AK_f,0,0,32,0,0,12,0,35,7,0,Feather,AK_f,0,0,37,0,10,13,0,40,0,0
9,Feather,AK_f,299,0,21,0,0,26,0,0,0,19,Feather,AK_f,568,0,21,0,0,0,10,61,0,0
14,Feather,AK_f,508,0,0,0,5,5,0,0,12,0,Feather,AK_f,0,0,23,0,0,0,25,0,7,12
16,Feather,AK_f,777,0,56,0,5,0,6,0,0,0,Feather,AK_f,0,0,23,20,0,0,0,19,6,0
18,Feather,AK_f,538,0,0,0,0,20,0,40,3,0,Feather,AK_f,0,0,0,6,14,0,0,51,0,13
3,Feather,AK_f,0,0,0,0,4,25,0,0,3,13,Feather,AK_f,538,0,53,0,0,7,11,0,0,0
7,Feather,AK_f,478,0,0,16,0,0,0,21,11,0,Feather,AK_f,0,0,0,0,16,0,16,33,4,0
82,Feather,AK_f,269,0,39,0,0,0,0,58,6,0,Feather,AK_f,239,0,65,0,0,0,0,63,7,0
8,Feather,AK_f,0,0,37,4,0,28,0,0,3,0,Feather,AK_f,299,0,81,0,9,0,5,0,0,0
6,Feather,AK_f,239,0,37,0,0,0,0,0,10,15,Feather,AK_f,0,0,0,10,0,0,17,21,0,14
13,Feather,AK_f,0,0,19,5,0,26,10,0,0,0,Feather,AK_f,747,0,0,0,0,11,0,19,7,0
9,Feather,AK_f,0,0,35,0,0,12,0,0,10,7,Feather,AK_f,0,0,32,0,12,0,0,19,0,21
1,Feather,AK_f,717,0,0,0,0,0,18,0,3,5,Feather,AK_f,269,0,60,0,0,13,0,37,0,0
9,Feather,AK_f,0,0,44,0,16,0,17,0,0,6,Feather,AK_f,0,0,42,0,4,0,16,37,0,0
2,Feather,AK_f,478,0,21,0,0,21,0,0,0,12,Feather,AK_f,209,0,65,0,0,0,23,0,3,0
4,Feather,AK_f,717,0,44,0,0,12,6,0,0,0,Feather,AK_f,538,0,0,15,0,7,9,0,0,0
1,Feather,AK_f,0,0,21,10,0,31,0,16,0,0,Feather,AK_f,687,0,0,11,0,0,5,61,0,0
8,Feather,AK_f,0,0,81,0,0,7,5,56,0,0,Feather,AK_f,0,0,37,0,8,0,6,68,0,0
12,Feather,AK_f,448,0,0,0,6,7,0,0,0,24,Feather,AK_f,508,0,56,0,0,7,10,0,0,0
8,Feather,AK_f,0,0,69,0,0,12,6,33,0,0,Feather,AK_f,0,0,0,10,0,0,17,33,0,6
2,Feather,AK_f,508,0,44,0,9,12,0,0,0,0,Feather,AK_f,807,0,16,0,17,0,0,21,0,0
12,Feather,AK_f,269,0,79,13,0,0,0,0,0,6,Feather,AK_f,0,0,65,0,5,0,10,0,0,19
18,Feather,AK_f,209,0,0,0,5,31,0,0,3,0,Feather,AK_f,598,0,19,0,0,0,0,56,0,13
3,Feather,AK_f,538,0,0,15,0,7,0,37,0,0,Feather,AK_f,209,0,0,9,9,0,0,65,0,0
14,Feather,AK_f,0,0,19,11,0,0,0,16,0,26,Feather,AK_f,0,0,83,0,4,0,0,42,4,0
6,Feather,AK_f,239,0,42,0,21,5,0,0,0,0,Feather,AK_f,0,0,0,0,0,12,12,63,5,0
0,Feather,AK_f,0,0,42,0,0,10,0,44,0,14,Feather,AK_f,448,0,23,0,0,6,0,79,0,0
2,Feather,AK_f,0,0,0,5,16,0,12,33,0,0,Feather,AK_f,0,0,60,9,0,0,0,56,0,8
21,Feather,AK_f,0,0,58,0,4,0,0,21,0,26,Feather,AK_f,0,0,76,6,0,12,0,40,0,0
1000,Feather,AK_f,0,0,39,0,5,0,0,89,0,8
18,Feather,AK_f,299,0,39,0,13,12,0,0,0,0,Feather,AK_f,478,0,60,0,0,0,0,37,0,6
38,Feather,AK_f,448,0,35,0,0,7,0,63,0,0,Feather,AK_f,209,0,44,0,0,0,10,68,0,0
6,Feather,AK_f,986,0,0,5,0,7,0,0,6,0,Feather,AK_f,538,0,44,0,0,0,17,0,3,0
30,Feather,AK_f,0,0,0,15,0,7,17,21,0,0,Feather,AK_f,0,0,0,0,0,7,17,40,7,0
11,Feather,AK_f,807,0,37,8,5,0,0,0,0,0,Feather,AK_f,0,0,56,0,0,5,0,42,6,0
5,Feather,AK_f,538,0,0,17,5,0,0,0,0,12,Feather,AK_f,269,0,44,0,0,0,10,0,0,19
11,Feather,AK_f,508,0,58,13,0,0,0,0,4,0,Feather,AK_f,0,0,44,0,16,0,0,21,9,0
0,Feather,AK_f,956,0,19,0,4,0,17,0,0,0,Feather,AK_f,269,0,0,13,0,0,0,42,7,0
20,Feather,AK_f,269,0,56,0,0,12,0,63,0,0,Feather,AK_f,209,0,0,0,0,21,12,61,0,0
7,Feather,AK_f,538,0,0,9,0,0,0,47,0,12,Feather,AK_f,508,0,21,0,5,0,0,79,0,0
15,Feather,AK_f,568,0,0,0,19,6,0,16,0,0,Feather,AK_f,0,0,0,9,0,0,12,40,0,20
7,Feather,AK_f,0,0,19,0,0,25,12,0,0,7,Feather,AK_f,418,0,58,0,5,0,0,42,0,0
3,Feather,AK_f,1165,0,0,0,6,18,5,0,0,0,Feather,AK_f,0,0,42,10,0,0,0,35,0,21
21,Feather,AK_f,1105,0,39,0,4,0,0,0,3,0,Feather,AK_f,0,0,0,9,11,0,0,37,7,0
0,Feather,AK_f,0,0,42,9,0,5,0,0,10,0,Feather,AK_f,478,0,42,0,9,0,0,42,0,0
95,Feather,AK_f,0,0,19,0,10,0,0,61,6,0,Feather,AK_f,0,0,0,4,0,6,0,77,10,0
1,Feather,AK_f,538,0,37,0,0,0,10,0,8,0,Feather,AK_f,0,0,19,12,0,27,0,16,0,0
10,Feather,AK_f,0,0,0,0,20,0,12,0,3,11,Feather,AK_f,538,0,42,0,0,5,0,68,0,0
4,Feather,AK_f,508,0,0,0,0,6,20,0,4,0,Feather,AK_f,0,0,39,18,5,0,0,42,0,0
7,Feather,AK_f,478,0,0,0,18,6,11,0,0,0,Feather,AK_f,209,0,0,0,26,0,0,19,7,0
13,Feather,AK_f,777,0,0,0,15,0,6,16,0,0,Feather,AK_f,0,0,37,0,0,0,16,47,0,7
219,Feather,AK_f,269,0,0,0,12,5,0,68,0,0,Feather,AK_f,209,0,37,0,0,12,0,77,0,0
11,Feather,AK_f,598,0,21,0,0,17,0,61,0,0,Feather,AK_f,747,0,16,0,0,7,0,63,0,0
1,Feather,AK_f,209,0,0,6,11,0,0,0,14,0,Feather,AK_f,478,0,0,18,0,0,0,37,0,8
13,Feather,AK_f,0,0,0,0,5,0,14,0,12,7,Feather,AK_f,209,0,0,10,0,19,0,40,0,0
57,Feather,AK_f,0,0,42,0,0,11,6,61,0,0,Feather,AK_f,0,0,46,0,0,0,12,82,0,5
1,Feather,AK_f,478,0,0,0,0,10,23,0,4,0,Feather,AK_f,0,0,62,9,0,11,0,21,0,0
1,Feather,AK_f,209,0,0,0,0,17,0,19,10,0,Feather,AK_f,0,0,42,4,0,12,0,58,0,0
1,Feather,AK_f,0,0,0,0,6,23,10,0,0,15,Feather,AK_f,747,0,0,0,0,12,0,40,0,6
2,Feather,AK_f,508,0,0,0,15,19,0,21,0,0,Feather,AK_f,478,0,0,0,0,11,0,40,6,0
2,Feather,AK_f,0,0,0,0,20,15,6,0,3,0,Feather,AK_f,0,0,19,0,10,0,0,37,0,22
13,Feather,AK_f,508,0,58,6,0,0,0,35,0,0,Feather,AK_f,0,0,39,0,10,0,12,35,0,0
5,Feather,AK_f,568,0,0,0,0,0,6,56,0,12,Feather,AK_f,0,0,42,0,0,0,0,65,6,6
10,Feather,AK_f,0,0,0,10,5,0,22,0,0,8,Feather,AK_f,0,0,0,15,12,11,0,21,0,0
27,Feather,AK_f,0,0,19,0,0,0,5,37,0,28,Feather,AK_f,0,0,0,0,0,0,10,42,9,13
81,Feather,AK_f,0,0,0,0,4,0,13,42,10,0,Feather,AK_f,0,0,44,0,0,10,0,54,7,0
2,Feather,AK_f,508,0,44,9,8,0,0,0,0,0,Feather,AK_f,0,0,65,10,0,0,0,47,0,5
0,Feather,AK_f,508,0,58,0,0,7,0,0,0,13,Feather,AK_f,0,0,0,0,9,0,16,61,3,0
1,Feather,AK_f,0,0,0,23,5,5,0,0,6,0,Feather,AK_f,0,0,88,0,10,5,0,23,0,0
0,Feather,AK_f,0,0,0,0,16,17,6,0,3,0,Feather,AK_f,239,0,62,0,0,24,0,23,0,0
7,Feather,AK_f,717,0,19,0,0,13,0,44,0,0,Feather,AK_f,0,0,0,10,0,7,0,63,9,0
1,Feather,AK_f,717,0,0,16,6,7,0,0,0,0,Feather,AK_f,0,0,19,14,9,0,0,63,0,0
2,Feather,AK_f,269,0,42,0,22,0,0,0,0,8,Feather,AK_f,508,0,46,0,10,0,0,33,0,0
