NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
558,Flower,HP_f,0,0,39,0,0,0,0,33,6,23,Flower,HP_f,0,19,0,0,0,12,0,0,10,20
5,Flower,HP_f,0,54,19,16,0,5,0,0,0,0,Flower,HP_f,0,0,16,5,0,27,0,0,7,0
6,Flower,HP_f,0,31,39,0,10,0,0,44,0,0,Flower,HP_f,0,51,23,0,9,0,0,0,9,0
14,Flower,HP_f,0,0,0,10,0,11,0,21,9,0,Flower,HP_f,0,0,0,0,5,0,6,58,10,0
0,Flower,HP_f,0,51,19,0,6,0,14,0,0,0,Flower,HP_f,0,0,53,9,6,0,0,0,0,12
3,Flower,HP_f,0,19,62,0,0,12,10,0,0,0,Flower,HP_f,0,0,42,0,15,0,0,21,7,0
382,Flower,HP_f,0,16,0,4,0,0,0,0,9,20,Flower,HP_f,0,18,19,0,0,0,0,0,7,28
5,Flower,HP_f,0,14,0,14,0,0,12,42,0,0,Flower,HP_f,0,0,0,0,9,7,0,0,7,19
1,Flower,HP_f,0,19,37,5,19,0,0,0,0,0,Flower,HP_f,0,0,79,0,0,7,6,0,0,12
14,Flower,HP_f,0,31,0,15,0,0,0,16,0,13,Flower,HP_f,0,0,0,19,5,0,0,23,0,20
1,Flower,HP_f,0,33,0,0,9,20,0,23,0,0,Flower,HP_f,0,0,0,10,9,0,0,0,4,22
11,Flower,HP_f,0,29,0,10,15,0,6,0,0,0,Flower,HP_f,0,31,42,0,0,0,0,40,0,14
31,Flower,HP_f,0,33,0,0,0,5,0,58,0,16,Flower,HP_f,0,66,0,4,0,0,0,0,4,13
5,Flower,HP_f,0,35,39,0,0,0,0,19,0,22,Flower,HP_f,0,0,0,0,11,0,0,42,3,24
5,Flower,HP_f,0,35,44,0,0,0,16,0,0,5,Flower,HP_f,0,16,60,0,0,0,10,0,0,15
0,Flower,HP_f,0,31,23,13,0,0,10,0,0,0,Flower,HP_f,0,27,46,0,0,0,0,35,7,0
27,Flower,HP_f,0,0,0,0,12,11,0,0,6,15,Flower,HP_f,0,0,0,0,6,0,0,42,3,26
18,Flower,HP_f,0,0,0,0,11,12,17,0,3,0,Flower,HP_f,0,0,0,0,4,15,0,63,0,14
13,Flower,HP_f,0,0,0,6,20,12,0,21,0,0,Flower,HP_f,0,0,0,0,0,20,18,16,0,13
1,Flower,HP_f,0,16,65,0,9,0,0,0,7,0,Flower,HP_f,0,0,21,0,0,11,0,0,3,29
1000,Flower,HP_f,0,0,0,5,0,0,0,47,6,28
0,Flower,HP_f,0,0,58,15,0,0,5,0,0,15,Flower,HP_f,0,0,0,4,0,0,17,23,0,20
7,Flower,HP_f,0,31,62,0,10,0,5,0,0,0,Flower,HP_f,0,0,58,5,11,0,0,35,0,0
3,Flower,HP_f,0,16,39,0,11,0,0,0,0,20,Flower,HP_f,0,0,21,0,16,0,0,0,7,11
1,Flower,HP_f,0,64,0,0,10,6,0,0,3,0,Flower,HP_f,0,0,39,0,0,0,13,21,12,0
26,Flower,HP_f,0,16,0,15,0,0,0,23,10,0,Flower,HP_f,0,0,21,11,0,0,5,0,13,0
2,Flower,HP_f,0,37,16,16,0,0,16,0,0,0,Flower,HP_f,0,31,0,10,5,0,16,0,0,0
37,Flower,HP_f,0,31,39,0,0,0,0,0,4,19,Flower,HP_f,0,14,0,0,0,0,12,19,14,0
4,Flower,HP_f,0,16,39,0,14,0,0,42,0,0,Flower,HP_f,0,0,46,9,0,0,12,0,6,0
6,Flower,HP_f,0,0,0,0,0,19,5,42,0,12,Flower,HP_f,0,0,19,4,0,0,0,21,17,0
44,Flower,HP_f,0,37,0,0,20,0,6,0,0,12,Flower,HP_f,0,18,0,0,0,0,0,16,17,6
