NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
12,Goblet,PH_p,598,33,0,0,0,0,0,19,0,21,Goblet,EL_p,209,0,65,11,9,0,0,0,0,0
0,Goblet,DF_p,0,16,21,0,0,0,0,70,0,26,Goblet,AK_p,269,33,0,0,0,0,15,0,7,0
3,Goblet,PH_p,478,0,46,0,0,6,14,0,0,0,Goblet,HP_p,0,47,0,0,9,12,6,0,0,0
0,Goblet,AN_p,0,19,35,0,0,13,0,56,0,0,Goblet,DF_p,0,0,21,0,0,0,17,0,7,12
15,Goblet,HP_p,0,0,0,0,15,0,0,40,7,5,Goblet,AK_p,627,18,0,0,0,0,0,58,7,0
6,Goblet,DF_p,0,33,42,10,0,0,13,0,0,0,Goblet,HP_p,0,53,39,0,0,0,0,37,0,7
12,Goblet,AN_p,0,0,76,4,5,0,0,44,0,0,Goblet,PY_p,0,0,58,15,10,0,0,0,4,0
8,Goblet,AN_p,657,0,0,10,5,0,0,0,7,0,Goblet,AK_p,0,0,35,0,0,0,16,0,7,7
4,Goblet,HP_p,0,0,21,0,0,11,0,0,3,29,Goblet,AK_p,657,0,37,0,0,6,0,0,11,0
4,Goblet,HP_p,0,14,0,0,0,25,0,42,3,0,Goblet,AK_p,0,31,39,14,0,7,0,0,0,0
12,Goblet,DF_p,657,0,46,0,11,0,0,0,0,6,Goblet,AK_p,508,54,0,0,0,6,0,0,10,0
0,Goblet,GE_p,269,0,0,0,10,0,0,79,3,0,Goblet,PY_p,0,0,21,0,0,0,12,40,10,0
42,Goblet,HY_p,0,0,39,0,10,0,0,0,4,26,Goblet,EL_p,418,16,0,0,15,0,0,47,0,0
12,Goblet,HY_p,0,51,0,8,0,0,0,21,0,16,Goblet,EM_f,0,14,0,0,10,0,16,0,10,0
0,Goblet,PY_p,538,31,35,0,0,19,0,0,0,0,Goblet,PY_p,0,0,86,0,0,7,0,16,0,14
0,Goblet,HP_p,747,37,23,0,13,0,0,0,0,0,Goblet,HP_p,508,0,0,0,0,0,0,37,4,21
1,Goblet,DF_p,508,0,39,9,8,0,0,0,0,0,Goblet,DF_p,538,35,0,0,10,0,10,0,0,0
0,Goblet,EM_f,508,0,16,0,0,0,17,0,0,15,Goblet,DF_p,0,35,0,0,18,0,6,0,6,0
19,Goblet,HP_p,0,0,0,0,0,12,9,58,4,0,Goblet,AK_p,478,56,42,0,0,0,0,0,4,0
17,Goblet,DF_p,299,0,0,0,10,0,0,0,6,19,Goblet,EL_p,0,0,0,5,10,0,0,0,7,30
6,Goblet,HP_p,0,37,0,0,0,16,0,19,0,13,Goblet,AK_p,0,27,0,0,0,12,17,0,0,6
33,Goblet,AK_p,478,0,0,0,0,0,22,23,3,0,Goblet,AK_p,299,18,0,0,0,0,0,54,9,0
0,Goblet,HP_p,508,0,0,0,5,25,0,0,0,6,Goblet,HY_p,0,19,0,0,15,0,15,0,0,12
52,Goblet,AK_p,0,18,0,10,0,0,0,84,0,6,Goblet,HY_p,0,39,0,0,0,0,0,16,6,20
12,Goblet,AK_p,0,18,60,0,0,23,0,23,0,0,Goblet,EL_p,0,16,0,15,16,0,0,0,6,0
4,Goblet,AK_p,0,29,44,0,0,13,12,0,0,0,Goblet,DF_p,508,14,0,5,0,0,0,0,13,0
5,Goblet,DF_p,0,43,16,0,0,0,0,44,10,0,Goblet,AN_p,0,0,0,9,19,0,0,0,4,6
15,Goblet,HP_p,508,16,44,0,0,0,18,0,0,0,Goblet,HP_p,0,0,76,0,0,5,0,40,4,0
8,Goblet,DF_p,508,29,23,0,18,0,0,0,0,0,Goblet,DF_p,448,0,65,0,8,0,0,0,0,7
115,Goblet,AK_p,0,37,35,0,0,0,12,0,0,18,Goblet,EL_p,837,27,0,0,10,0,0,0,3,0
0,Goblet,CY_p,687,0,0,0,10,7,0,47,0,0,Goblet,DF_p,0,35,37,16,0,0,0,0,0,13
7,Goblet,CY_p,508,0,0,14,0,12,0,0,0,8,Goblet,PH_p,836,39,21,0,0,0,0,0,0,12
4,Goblet,GE_p,239,0,39,26,0,0,0,21,0,0,Goblet,AK_p,568,33,0,5,0,0,0,0,10,0
0,Goblet,HP_p,508,45,23,0,0,0,0,40,0,0,Goblet,HY_p,0,0,0,5,0,13,0,56,7,0
1,Goblet,PH_p,0,16,58,0,16,5,0,0,0,0,Goblet,AN_p,0,0,39,10,0,0,0,33,0,14
0,Goblet,AK_p,0,16,65,0,0,0,5,79,0,0,Goblet,AK_p,717,37,0,0,0,5,0,0,6,0
12,Goblet,HP_p,0,37,21,0,0,27,0,0,3,0,Goblet,HY_p,0,0,0,4,15,19,5,0,0,0
4,Goblet,AK_p,269,0,39,0,0,0,11,82,0,0,Goblet,CY_p,717,0,0,0,0,0,6,0,9,8
0,Goblet,DF_p,508,0,53,0,0,0,12,0,0,8,Goblet,AK_p,1135,18,0,0,0,0,10,0,0,14
16,Goblet,HP_p,747,18,0,0,0,12,0,0,6,0,Goblet,AK_p,0,18,0,0,0,10,23,0,3,0
4,Goblet,AN_p,777,35,23,0,11,0,0,0,0,0,Goblet,EM_f,0,0,16,0,0,15,17,0,6,0
3,Goblet,AK_p,657,0,39,0,0,0,12,19,0,0,Goblet,AK_p,777,18,0,0,0,12,0,0,0,23
12,Goblet,GE_p,0,53,0,0,0,14,0,0,5,7,Goblet,HP_p,0,0,0,0,4,0,6,0,12,16
0,Goblet,DF_p,508,45,35,0,6,0,0,0,0,0,Goblet,HP_p,0,51,0,0,4,11,0,0,0,16
16,Goblet,CY_p,269,0,37,0,6,0,21,0,0,0,Goblet,DF_p,598,0,0,4,0,0,0,42,9,0
15,Goblet,CY_p,269,47,0,11,0,0,10,0,0,0,Goblet,HP_p,568,0,0,0,0,0,25,0,6,6
4,Goblet,AN_p,209,29,39,0,0,0,0,0,0,19,Goblet,HP_p,0,0,23,0,0,7,0,40,17,0
2,Goblet,GE_p,836,14,39,0,0,0,0,0,0,14,Goblet,AK_p,269,72,0,9,0,0,0,19,0,0
11,Goblet,HP_p,0,29,35,0,0,12,0,0,7,0,Goblet,HP_p,0,0,0,0,5,0,12,54,0,14
1,Goblet,HY_p,1016,0,0,5,10,0,10,0,0,0,Goblet,DF_p,0,35,39,8,0,0,0,0,0,13
3,Goblet,DF_p,0,0,39,10,0,0,11,0,7,0,Goblet,AK_p,747,0,23,0,0,6,16,0,0,0
5,Goblet,AN_p,627,19,56,0,0,0,0,21,0,0,Goblet,DF_p,0,0,39,6,9,0,0,49,0,0
1,Goblet,HP_p,627,51,19,0,0,7,0,0,0,0,Goblet,AK_p,0,47,44,0,0,0,0,0,7,12
30,Goblet,AK_p,0,47,39,0,0,12,0,0,0,8,Goblet,AK_p,807,16,0,0,0,0,0,40,0,13
14,Goblet,AK_p,0,53,0,0,0,0,9,19,7,0,Goblet,EL_p,478,31,0,0,0,0,13,0,7,0
18,Goblet,HP_p,0,0,0,0,11,0,0,19,10,12,Goblet,AK_p,0,29,0,0,0,20,0,0,6,8
