NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
7,Goblet,GE_p,0,14,0,0,0,12,6,0,12,0,Goblet,EL_p,0,0,62,0,0,11,12,16,0,0
28,Goblet,PY_p,269,33,53,0,0,0,0,40,0,0,Goblet,HP_p,0,16,39,0,0,18,0,44,0,0
21,Goblet,DF_p,657,33,0,0,9,0,0,23,0,0,Goblet,PH_p,0,27,0,0,9,0,0,40,7,0
53,Goblet,HY_p,0,51,0,0,8,14,0,19,0,0,Goblet,AK_p,0,0,23,0,0,15,0,35,6,0
12,Goblet,CY_p,0,51,0,0,12,5,11,0,0,0,Goblet,EM_f,0,49,42,0,0,7,0,0,7,0
36,Goblet,DF_p,538,0,39,8,0,0,0,44,0,0,Goblet,CY_p,0,47,23,9,0,0,0,61,0,0
11,Goblet,HP_p,0,47,21,0,0,0,5,0,11,0,Goblet,HY_p,0,39,37,0,0,16,0,21,0,0
24,Goblet,EL_p,448,49,0,0,10,0,0,19,0,0,Goblet,PH_p,0,29,0,9,0,0,0,40,7,0
8,Goblet,CY_p,478,0,39,0,0,0,0,23,10,0,Goblet,DF_p,0,47,39,0,0,0,0,44,4,0
2,Goblet,HP_p,269,0,16,0,0,19,17,0,0,0,Goblet,AK_p,478,51,0,0,0,0,0,63,4,0
28,Goblet,AK_p,478,0,60,0,0,0,6,37,0,0,Goblet,PH_p,478,0,0,8,0,0,0,40,0,19
3,Goblet,GE_p,0,16,0,0,0,19,9,0,7,0,Goblet,HY_p,0,0,23,0,0,0,16,0,3,22
19,Goblet,EL_p,0,0,35,0,0,0,10,0,10,6,Goblet,AK_p,1046,18,0,0,0,0,0,44,0,6
24,Goblet,AK_p,0,33,0,6,0,24,0,35,0,0,Goblet,AN_p,0,0,39,0,8,0,0,40,6,0
107,Goblet,AK_p,717,19,0,5,0,0,0,56,0,0,Goblet,EM_f,209,0,0,0,0,7,12,0,13,0
27,Goblet,GE_p,0,16,0,16,0,20,0,16,0,0,Goblet,DF_p,478,0,35,0,0,0,0,63,0,7
0,Goblet,AK_p,478,37,0,10,0,0,11,0,0,0,Goblet,GE_p,0,0,42,0,0,0,0,19,10,12
16,Goblet,DF_p,777,31,0,10,0,0,0,0,3,0,Goblet,HP_p,0,31,37,0,0,0,17,0,0,11
9,Goblet,HP_p,0,51,37,0,0,0,0,21,0,13,Goblet,HP_p,299,0,56,0,0,0,10,54,0,0
5,Goblet,HY_p,0,33,0,10,0,7,0,0,0,22,Goblet,DF_p,0,29,60,0,5,0,0,61,0,0
3,Goblet,PY_p,508,0,0,9,16,0,5,0,0,0,Goblet,HY_p,239,0,60,0,0,18,0,23,0,0
67,Goblet,AN_p,0,0,0,13,0,0,0,37,8,5,Goblet,EM_f,0,0,69,9,11,0,0,0,0,5
0,Goblet,PH_p,0,0,16,0,10,21,0,0,0,12,Goblet,PY_p,209,0,0,16,0,0,6,0,0,19
16,Goblet,AN_p,598,0,56,0,10,0,0,21,0,0,Goblet,HY_p,807,27,19,0,0,0,0,42,0,0
4,Goblet,HY_p,0,0,0,0,16,5,6,0,0,19,Goblet,HP_p,508,0,0,0,0,0,12,56,4,0
2,Goblet,HP_p,807,0,46,0,0,7,0,37,0,0,Goblet,HP_p,478,33,0,0,0,0,5,63,0,0
31,Goblet,AK_p,0,49,39,0,0,0,12,0,4,0,Goblet,HP_p,0,49,53,0,6,0,0,42,0,0
4,Goblet,AK_p,538,49,16,0,0,15,0,0,0,0,Goblet,HY_p,0,51,16,0,0,0,0,61,3,0
12,Goblet,GE_p,478,0,21,9,15,0,0,0,0,0,Goblet,GE_p,239,0,0,0,4,0,29,0,0,8
15,Goblet,AK_p,0,27,46,0,0,6,0,58,0,0,Goblet,GE_p,0,14,39,0,0,0,0,65,0,14
5,Goblet,DF_p,0,0,62,0,14,0,0,0,3,7,Goblet,AK_p,299,49,32,0,0,0,11,0,0,0
7,Goblet,HY_p,448,0,0,0,0,0,6,70,0,7,Goblet,EM_f,538,53,0,6,10,0,0,0,0,0
0,Goblet,PH_p,0,31,0,0,0,18,0,40,4,0,Goblet,AK_p,0,14,44,0,0,12,0,61,0,0
