NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
17,Timepiece,ER_p,777,0,16,0,0,12,0,0,7,0,Timepiece,DF_p,0,16,65,0,4,0,0,0,11,0
4,Timepiece,AK_p,508,0,37,0,0,12,0,58,0,0,Timepiece,AK_p,0,0,16,0,0,0,0,37,7,19
32,Timepiece,AK_p,0,54,56,0,0,0,0,0,3,8,Timepiece,AK_p,0,0,0,5,0,12,11,0,0,22
5,Timepiece,ER_p,0,33,37,10,15,0,0,0,0,0,Timepiece,ER_p,478,0,0,4,0,0,0,0,7,27
15,Timepiece,HP_p,0,18,67,0,0,11,0,40,0,0,Timepiece,EM_f,269,0,72,0,11,0,5,0,0,0
7,Timepiece,EM_f,0,0,58,0,9,11,0,0,0,7,Timepiece,DF_p,0,0,53,0,18,0,0,23,4,0
12,Timepiece,HP_p,508,47,32,0,6,0,0,0,0,0,Timepiece,DF_p,269,47,0,0,0,0,11,0,6,0
9,Timepiece,DF_p,1076,14,0,5,0,0,0,0,0,12,Timepiece,EM_f,0,0,0,10,13,0,12,0,0,6
7,Timepiece,EM_f,866,16,16,0,0,20,0,0,0,0,Timepiece,HP_p,687,0,0,0,0,6,0,63,0,8
22,Timepiece,HP_p,269,37,0,0,14,12,0,0,0,0,Timepiece,DF_p,0,58,42,0,0,0,5,0,0,12
4,Timepiece,DF_p,299,0,0,10,0,0,14,40,0,0,Timepiece,DF_p,0,45,0,0,4,0,11,0,0,16
1,Timepiece,DF_p,269,64,0,0,0,0,11,0,0,6,Timepiece,AK_p,0,0,21,0,0,13,0,40,10,0
1,Timepiece,HP_p,0,0,0,0,5,25,0,44,0,7,Timepiece,AK_p,299,49,35,0,0,0,12,0,0,0
5,Timepiece,AK_p,0,0,19,0,0,18,16,44,0,0,Timepiece,HP_p,269,0,0,0,0,12,6,0,12,0
10,Timepiece,DF_p,538,62,0,5,0,0,5,0,0,0,Timepiece,AK_p,0,35,0,16,0,10,5,0,0,0
669,Timepiece,AK_p,0,0,58,9,0,0,0,0,7,13,Timepiece,AK_p,0,29,0,5,0,0,0,0,12,13
7,Timepiece,HP_p,1076,27,0,0,0,7,0,42,0,0,Timepiece,AK_p,0,62,19,6,0,0,12,0,0,0
3,Timepiece,AK_p,0,0,44,19,0,6,5,0,0,0,Timepiece,DF_p,0,14,23,0,0,0,0,0,10,21
2,Timepiece,HP_p,299,0,37,0,0,6,0,77,0,0,Timepiece,HP_p,0,19,39,0,14,0,10,0,0,0
22,Timepiece,DF_p,538,14,0,0,26,0,6,0,0,0,Timepiece,AK_p,508,0,16,6,0,0,0,0,14,0
0,Timepiece,HP_p,777,0,21,0,0,0,5,54,0,0,Timepiece,AK_p,508,35,0,10,0,12,0,0,0,0
7,Timepiece,DF_p,209,84,0,0,0,0,0,44,0,6,Timepiece,DF_p,0,0,0,0,0,0,19,35,4,13
1,Timepiece,DF_p,1046,35,0,0,10,0,0,19,0,0,Timepiece,HP_p,0,0,39,0,0,10,16,0,3,0
10,Timepiece,DF_p,538,49,0,0,6,0,0,37,0,0,Timepiece,HP_p,0,0,0,0,9,0,15,0,8,7
6,Timepiece,EM_f,0,49,39,0,4,0,11,0,0,0,Timepiece,HP_p,508,0,0,0,0,18,0,23,6,0
93,Timepiece,HP_p,0,0,23,0,13,0,6,0,0,26,Timepiece,DF_p,0,19,0,0,0,0,0,37,9,19
13,Timepiece,DF_p,0,18,0,10,0,0,13,0,0,19,Timepiece,EM_f,0,0,0,0,5,18,0,0,6,12
7,Timepiece,DF_p,0,18,0,0,15,0,0,44,6,0,Timepiece,DF_p,239,33,0,0,0,0,0,42,11,0
3,Timepiece,EM_f,0,35,32,0,10,0,11,0,0,0,Timepiece,AK_p,0,0,53,0,0,14,12,0,0,14
4,Timepiece,DF_p,777,0,0,6,0,0,16,0,0,12,Timepiece,HP_p,0,0,32,0,10,0,0,0,10,8
17,Timepiece,HP_p,0,0,19,0,0,12,10,0,10,0,Timepiece,AK_p,0,35,21,0,0,5,25,0,0,0
3,Timepiece,DF_p,0,0,21,8,0,0,12,51,0,0,Timepiece,AK_p,0,0,0,0,0,19,11,16,0,15
0,Timepiece,EM_f,0,16,62,0,0,7,0,0,0,19,Timepiece,ER_p,0,16,0,0,12,0,0,16,14,0
24,Timepiece,AK_p,0,31,0,0,0,0,28,0,3,8,Timepiece,AK_p,0,0,42,13,0,0,0,0,4,12
213,Timepiece,AK_p,0,0,0,0,0,0,6,61,4,20,Timepiece,AK_p,209,0,0,15,0,0,0,0,3,23
1,Timepiece,EM_f,478,53,0,0,0,12,6,0,0,0,Timepiece,HP_p,0,33,0,0,0,0,0,16,10,17
1000,Timepiece,AK_p,0,18,0,0,0,0,0,23,10,19
121,Timepiece,AK_p,508,0,0,0,0,0,10,42,0,13,Timepiece,AK_p,239,0,0,10,0,18,0,0,0,18
0,Timepiece,DF_p,418,18,90,0,0,0,0,0,3,0,Timepiece,DF_p,0,19,39,9,0,0,0,0,0,21
9,Timepiece,DF_p,269,0,23,0,0,0,9,0,0,25,Timepiece,AK_p,777,0,0,5,0,12,0,0,8,0
3,Timepiece,DF_p,0,29,42,0,0,0,12,0,0,15,Timepiece,AK_p,538,29,0,0,0,0,12,0,0,13
62,Timepiece,DF_p,0,0,44,0,16,0,0,16,0,20,Timepiece,ER_p,239,14,0,0,11,0,0,0,13,0
97,Timepiece,AK_p,0,66,21,0,0,0,6,0,0,19,Timepiece,AK_p,538,27,42,0,0,0,0,0,0,21
15,Timepiece,EM_f,239,0,0,20,0,0,11,0,0,7,Timepiece,AK_p,657,33,0,5,0,0,0,0,7,0
4,Timepiece,AK_p,478,35,32,0,0,12,0,0,0,0,Timepiece,HP_p,568,0,49,0,0,6,0,0,12,0
