NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
69,Timepiece,HP_p,0,0,19,0,9,7,0,82,0,0,Timepiece,EM_f,0,62,23,9,0,0,6,0,0,0
35,Timepiece,HP_p,448,27,0,0,0,0,12,44,0,0,Timepiece,EM_f,0,14,0,0,16,21,0,0,0,13
16,Timepiece,AK_p,0,45,23,9,0,0,0,42,0,0,Timepiece,AK_p,0,14,0,0,0,19,0,44,0,15
5,Timepiece,DF_p,0,0,56,10,9,0,0,40,0,0,Timepiece,AK_p,598,16,37,0,0,0,0,54,0,0
6,Timepiece,DF_p,0,0,60,6,0,0,5,0,12,0,Timepiece,DF_p,0,47,37,5,0,0,0,44,0,0
14,Timepiece,HP_p,508,0,0,0,0,0,11,23,14,0,Timepiece,AK_p,0,35,58,0,0,0,0,68,4,0
119,Timepiece,EM_f,0,39,32,0,15,0,0,0,7,0,Timepiece,EM_f,0,14,67,0,10,0,10,0,0,0
2,Timepiece,ER_p,986,0,0,6,5,12,0,0,0,0,Timepiece,ER_p,0,16,42,4,0,0,0,103,0,0
30,Timepiece,ER_p,299,0,62,10,0,13,0,0,0,0,Timepiece,ER_p,0,62,0,0,11,11,0,23,0,0
6,Timepiece,AK_p,0,19,79,0,0,7,0,42,0,0,Timepiece,EM_f,568,0,51,0,0,0,10,0,0,6
24,Timepiece,HP_p,0,35,44,0,10,0,0,42,0,0,Timepiece,HP_p,568,0,0,0,0,5,10,61,0,0
0,Timepiece,HP_p,0,33,0,0,5,0,0,61,0,14,Timepiece,AK_p,299,51,0,0,0,0,0,63,0,7
1,Timepiece,DF_p,0,19,37,0,0,0,0,21,0,26,Timepiece,DF_p,717,0,21,0,0,0,0,37,7,0
15,Timepiece,DF_p,0,33,53,12,0,0,5,0,0,0,Timepiece,DF_p,0,0,21,10,0,0,11,61,0,0
2,Timepiece,DF_p,1046,19,19,0,0,0,0,0,0,12,Timepiece,EM_f,508,33,0,0,0,12,0,0,7,0
123,Timepiece,EM_f,239,0,0,10,19,0,0,0,0,14,Timepiece,EM_f,0,19,0,0,20,0,10,0,3,0
1,Timepiece,DF_p,0,0,42,0,0,0,12,0,8,12,Timepiece,EM_f,448,31,0,14,0,0,0,0,0,8
16,Timepiece,HP_p,239,0,32,0,0,0,22,23,0,0,Timepiece,DF_p,777,0,42,0,0,0,0,35,0,13
10,Timepiece,AK_p,0,16,23,0,0,0,21,0,0,15,Timepiece,EM_f,448,37,0,0,10,0,0,0,9,0
3,Timepiece,DF_p,448,0,16,16,0,0,0,0,0,12,Timepiece,EM_f,0,0,56,0,0,12,0,0,5,7
70,Timepiece,EM_f,299,51,37,8,0,0,0,0,0,0,Timepiece,EM_f,0,47,37,0,0,0,5,0,0,12
6,Timepiece,AK_p,807,0,16,0,0,0,17,0,4,0,Timepiece,AK_p,0,43,0,12,0,14,0,40,0,0
2,Timepiece,HP_p,777,14,0,0,0,0,15,0,7,0,Timepiece,DF_p,0,16,62,0,0,0,6,56,0,0
40,Timepiece,HP_p,0,35,46,0,16,5,0,0,0,0,Timepiece,EM_f,209,0,58,0,0,0,12,0,0,12
1,Timepiece,DF_p,239,14,106,0,6,0,0,0,0,0,Timepiece,HP_p,747,0,0,0,0,7,0,56,0,6
7,Timepiece,AK_p,478,18,0,0,0,21,16,0,0,0,Timepiece,EM_f,807,14,19,0,0,18,0,0,0,0
