NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtAType,ArtAMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
27,Circlet,DF_p,448,0,19,0,5,0,0,0,13,0,Circlet,DF_p,0,19,0,0,0,0,12,0,3,26
40,Circlet,CR_p,538,0,0,16,0,10,0,0,0,7,Circlet,CD_p,747,0,74,0,0,7,0,0,4,0
10,Circlet,HB_p,0,0,0,0,10,12,5,65,0,0,Circlet,DF_p,0,37,21,0,15,0,10,0,0,0
6,Circlet,CD_p,478,0,0,0,10,12,12,0,0,0,Circlet,HB_p,508,31,0,0,14,7,0,0,0,0
25,Circlet,HP_p,568,16,0,0,20,0,0,0,4,0,Circlet,DF_p,0,0,0,0,10,0,0,65,3,14
228,Circlet,DF_p,0,35,16,0,0,0,0,0,4,27,Circlet,HP_p,0,0,0,0,19,6,0,0,11,5
2,Circlet,HP_p,239,70,0,0,0,19,0,16,0,0,Circlet,AK_p,0,72,0,14,0,0,0,19,0,5
2,Circlet,AK_p,0,37,37,0,0,0,18,0,3,0,Circlet,HP_p,0,31,0,0,0,12,0,16,0,20
5,Circlet,AK_p,0,18,46,5,0,0,0,72,0,0,Circlet,DF_p,0,0,23,5,19,0,0,0,0,12
3,Circlet,AK_p,299,72,0,0,0,0,5,0,7,0,Circlet,EM_f,0,0,69,4,15,0,0,0,4,0
2,Circlet,HP_p,807,33,21,0,0,12,0,0,0,0,Circlet,DF_p,0,37,37,0,0,0,13,0,0,13
2,Circlet,HB_p,807,0,46,0,0,0,10,0,3,0,Circlet,CD_p,0,33,0,0,0,12,5,0,11,0
2,Circlet,CR_p,269,0,0,17,0,12,0,33,0,0,Circlet,HP_p,568,0,0,0,0,13,0,56,0,5
8,Circlet,HB_p,0,16,58,9,12,0,0,0,0,0,Circlet,DF_p,0,35,19,0,20,0,11,0,0,0
1,Circlet,AK_p,0,33,16,0,0,21,0,63,0,0,Circlet,AK_p,508,0,69,0,0,14,0,0,3,0
1,Circlet,AK_p,0,16,16,0,0,28,0,47,0,0,Circlet,HP_p,0,0,0,0,5,19,12,40,0,0
98,Circlet,CR_p,717,14,0,0,0,0,0,21,0,19,Circlet,AK_p,0,0,58,0,0,0,11,16,0,23
4,Circlet,AK_p,209,0,0,17,0,0,10,42,0,0,Circlet,HP_p,239,37,0,0,0,18,0,0,7,0
